tempo;valor_medio_m2;Regiao
set/12;861,15;Centro_Oeste
out/12;862,68;Centro_Oeste
nov/12;863,39;Centro_Oeste
dez/12;865,3;Centro_Oeste
jan/13;866,64;Centro_Oeste
fev/13;868,22;Centro_Oeste
mar/13;867,67;Centro_Oeste
abr/13;870,96;Centro_Oeste
mai/13;823,05;Centro_Oeste
jun/13;884,59;Centro_Oeste
jul/13;847,13;Centro_Oeste
ago/13;851,77;Centro_Oeste
set/13;854,16;Centro_Oeste
out/13;867,3;Centro_Oeste
nov/13;867,79;Centro_Oeste
dez/13;869,57;Centro_Oeste
jan/14;871,05;Centro_Oeste
fev/14;873,79;Centro_Oeste
mar/14;876,6;Centro_Oeste
abr/14;878,69;Centro_Oeste
mai/14;881,56;Centro_Oeste
jun/14;888,88;Centro_Oeste
jul/14;899,82;Centro_Oeste
ago/14;923,48;Centro_Oeste
set/14;924,26;Centro_Oeste
out/14;922,72;Centro_Oeste
nov/14;923,53;Centro_Oeste
dez/14;927,03;Centro_Oeste
jan/15;928;Centro_Oeste
fev/15;931,04;Centro_Oeste
mar/15;931,75;Centro_Oeste
abr/15;931,82;Centro_Oeste
mai/15;934,22;Centro_Oeste
jun/15;940,19;Centro_Oeste
jul/15;950,34;Centro_Oeste
ago/15;971,1;Centro_Oeste
set/15;972,21;Centro_Oeste
out/15;972,68;Centro_Oeste
nov/15;975,18;Centro_Oeste
dez/15;975,71;Centro_Oeste
jan/16;981,5;Centro_Oeste
fev/16;986,11;Centro_Oeste
mar/16;988,63;Centro_Oeste
abr/16;993,31;Centro_Oeste
mai/16;998,86;Centro_Oeste
jun/16;999,76;Centro_Oeste
jul/16;1000,06;Centro_Oeste
ago/16;1025,21;Centro_Oeste
set/16;1030,18;Centro_Oeste
out/16;1031,78;Centro_Oeste
nov/16;1033,1;Centro_Oeste
dez/16;1037,84;Centro_Oeste
jan/17;1039,08;Centro_Oeste
fev/17;1039,49;Centro_Oeste
mar/17;1042,08;Centro_Oeste
abr/17;1042,27;Centro_Oeste
mai/17;1042,77;Centro_Oeste
jun/17;1051,36;Centro_Oeste
jul/17;1053,77;Centro_Oeste
ago/17;1058,04;Centro_Oeste
set/17;1061,59;Centro_Oeste
out/17;1071,77;Centro_Oeste
nov/17;1081,84;Centro_Oeste
dez/17;1083,05;Centro_Oeste
jan/18;1081,68;Centro_Oeste
fev/18;1085,08;Centro_Oeste
mar/18;1086,88;Centro_Oeste
abr/18;1090,29;Centro_Oeste
mai/18;1091,76;Centro_Oeste
jun/18;1094,67;Centro_Oeste
jul/18;1100,46;Centro_Oeste
ago/18;1103,92;Centro_Oeste
set/18;1108,21;Centro_Oeste
out/18;1119,42;Centro_Oeste
nov/18;1121,77;Centro_Oeste
dez/18;1124,32;Centro_Oeste
jan/19;1125,2;Centro_Oeste
fev/19;1128,33;Centro_Oeste
mar/19;1129,42;Centro_Oeste
abr/19;1131,69;Centro_Oeste
mai/19;1130,22;Centro_Oeste
jun/19;1132,97;Centro_Oeste
jul/19;1134,91;Centro_Oeste
ago/19;1148,91;Centro_Oeste
set/19;1154,06;Centro_Oeste
out/19;1158,31;Centro_Oeste
nov/19;1163,57;Centro_Oeste
dez/19;1165,74;Centro_Oeste
jan/20;1171,04;Centro_Oeste
fev/20;1173,73;Centro_Oeste
mar/20;1175,45;Centro_Oeste
abr/20;1175,84;Centro_Oeste
mai/20;1176,2;Centro_Oeste
jun/20;1176,87;Centro_Oeste
jul/20;1179,66;Centro_Oeste
ago/20;1189,95;Centro_Oeste
set/20;1208,09;Centro_Oeste
out/20;1222,25;Centro_Oeste
nov/20;1244,12;Centro_Oeste
dez/20;1260,87;Centro_Oeste
jan/21;1280,81;Centro_Oeste
fev/21;1297,35;Centro_Oeste
mar/21;1322,36;Centro_Oeste
abr/21;1330,39;Centro_Oeste
mai/21;1352,93;Centro_Oeste
jun/21;1379,39;Centro_Oeste
jul/21;1406,76;Centro_Oeste
ago/21;1424,02;Centro_Oeste
set/21;1452,91;Centro_Oeste
out/21;1470,62;Centro_Oeste
nov/21;1494,2;Centro_Oeste
dez/21;1503,31;Centro_Oeste
jan/22;1515,22;Centro_Oeste
fev/22;1523,16;Centro_Oeste
mar/22;1548,88;Centro_Oeste
abr/22;1572,3;Centro_Oeste
mai/22;1623,17;Centro_Oeste
jun/22;1637,98;Centro_Oeste
jul/22;1658,26;Centro_Oeste
ago/22;1676,13;Centro_Oeste
set/22;1683,1;Centro_Oeste
out/22;1709,83;Centro_Oeste
nov/22;1719,1;Centro_Oeste
dez/22;1722,72;Centro_Oeste
jan/23;1727,02;Centro_Oeste
fev/23;1728,23;Centro_Oeste
mar/23;1727,96;Centro_Oeste
